imdb_id,title,type,rating,numVotes,genres,isAdult
tt3398228,BoJack Horseman,tvSeries,8.7,120461,"Animation,Comedy,Drama",0
tt4532368,Legends of Tomorrow,tvSeries,6.8,94312,"Action,Adventure,Drama",0
tt7985576,The Serpent,tvMiniSeries,7.7,29784,"Crime,Drama,Thriller",0
tt0098904,Seinfeld,tvSeries,8.8,261467,Comedy,0
tt0182576,Family Guy,tvSeries,8.1,309908,"Animation,Comedy",0
tt5420376,Riverdale,tvSeries,6.8,124859,"Crime,Drama,Mystery",0
tt1600194,Hawaii Five-0,tvSeries,7.3,67920,"Action,Crime,Drama",0
tt0458290,Star Wars: The Clone Wars,tvSeries,8.3,69352,"Action,Adventure,Animation",0
tt7767422,Sex Education,tvSeries,8.3,170610,"Comedy,Drama",0
tt2364582,Agents of S.H.I.E.L.D.,tvSeries,7.5,203431,"Action,Adventure,Drama",0
tt4270492,Billions,tvSeries,8.4,72552,Drama,0
tt1312171,The Umbrella Academy,tvSeries,8,170324,"Action,Adventure,Comedy",0
tt1043813,Titans,tvSeries,7.7,70617,"Action,Adventure,Crime",0
tt13660638,Black Space,tvSeries,7,594,"Crime,Drama,Thriller",0
tt6320628,Spider-Man: Far from Home,movie,7.5,350250,"Action,Adventure,Sci-Fi",0
tt2531336,Lupin,tvSeries,7.6,65279,"Action,Crime,Drama",0
tt2193021,Arrow,tvSeries,7.5,412168,"Action,Adventure,Crime",0
tt0107290,Jurassic Park,movie,8.1,887728,"Action,Adventure,Sci-Fi",0
tt6048596,The Sinner,tvSeries,7.9,95098,"Crime,Drama,Mystery",0
tt1475582,Sherlock,tvSeries,9.1,829203,"Crime,Drama,Mystery",0
tt1595859,Blue Bloods,tvSeries,7.6,33475,"Crime,Drama,Mystery",0
tt0367279,Arrested Development,tvSeries,8.7,281595,Comedy,0
tt1843230,Once Upon a Time,tvSeries,7.7,211103,"Adventure,Fantasy,Romance",0
tt10813940,Ginny & Georgia,tvSeries,7.5,32665,"Comedy,Drama",0
tt1378167,NCIS: Los Angeles,tvSeries,6.7,49461,"Action,Crime,Drama",0
tt9077530,Virgin River,tvSeries,7.5,22756,"Drama,Romance",0
tt9893250,I Care a Lot,movie,6.3,101431,"Comedy,Crime,Thriller",0
tt4016454,Supergirl,tvSeries,6.2,114178,"Action,Adventure,Drama",0
tt1469304,Baywatch,movie,5.5,167358,"Action,Comedy,Crime",0
tt9335498,Demon Slayer: Kimetsu No Yaiba,tvSeries,8.7,40775,"Action,Animation,Fantasy",0
tt7134908,Élite,tvSeries,7.5,53433,"Crime,Drama,Thriller",0
tt2372162,Orange Is the New Black,tvSeries,8,282508,"Comedy,Crime,Drama",0
tt5290382,Mindhunter,tvSeries,8.6,229768,"Crime,Drama,Thriller",0
tt2707408,Narcos,tvSeries,8.8,370208,"Biography,Crime,Drama",0
tt1567432,Teen Wolf,tvSeries,7.6,130825,"Action,Drama,Fantasy",0
tt0120737,The Lord of the Rings: The Fellowship of the Ring,movie,8.8,1697849,"Action,Adventure,Drama",0
tt9203694,Stowaway,movie,5.6,33501,"Drama,Sci-Fi,Thriller",0
tt7335184,You,tvSeries,7.7,153185,"Crime,Drama,Romance",0
tt8580274,Eurovision Song Contest: The Story of Fire Saga,movie,6.5,82411,"Comedy,Music",0
tt0106145,Star Trek: Deep Space Nine,tvSeries,8,54768,"Action,Adventure,Drama",0
tt10098620,Feel Good,tvSeries,7.5,5679,"Comedy,Drama,Romance",0
tt1442449,Spartacus: Blood and Sand,tvSeries,8.5,226860,"Action,Adventure,Biography",0
tt5574490,Animal Kingdom,tvSeries,8.2,25192,"Crime,Drama",0
tt4955642,The Good Place,tvSeries,8.2,123422,"Comedy,Drama,Fantasy",0
tt0247082,CSI: Crime Scene Investigation,tvSeries,7.6,77901,"Crime,Drama,Mystery",0
tt5171438,Star Trek: Discovery,tvSeries,7.2,99719,"Action,Adventure,Drama",0
